"acc"	"lineage"	"cross_references"	"collection_date"	"country"	"center_name"	"host"	"TAXON"	"coverage"	"phylogeny"	"who"
""	"B.1.1.214"	""	"20201221"	"Japan"	""	"Homo sapiens"	"2697049"	"100.0"	""	""
""	"B.1.1.214"	""	"20201221"	"Japan"	""	"Homo sapiens"	"2697049"	"100.0"	""	""
""	"B.1.1.214"	""	"20201221"	"Japan"	""	"Homo sapiens"	"2697049"	"100.0"	""	""
""	"B.1.1.214"	""	"20201221"	"Japan"	""	"Homo sapiens"	"2697049"	"100.0"	""	""
""	"B.1.1.214"	""	"20201221"	"Japan"	""	"Homo sapiens"	"2697049"	"99.993286"	""	""
""	"B.1.1.214"	""	"20201221"	"Japan"	""	"Homo sapiens"	"2697049"	"100.0"	""	""
""	"B.1.1.214"	""	"20201221"	"Japan"	""	"Homo sapiens"	"2697049"	"100.0"	""	""
""	"B.1.1.214"	""	"20201221"	"Japan"	""	"Homo sapiens"	"2697049"	"100.0"	""	""
""	"B.1.1.214"	""	"20201221"	"Japan"	""	"Homo sapiens"	"2697049"	"100.0"	""	""
""	"B.1.1.214"	""	"20200321"	"Japan"	""	"Homo sapiens"	"2697049"	"100.0"	""	""
""	"B.1.1.214"	""	"20201215"	"Japan"	""	"Homo sapiens"	"2697049"	"100.0"	""	""
""	"B.1.1.214"	""	"20201215"	"Japan"	""	"Homo sapiens"	"2697049"	"100.0"	""	""
""	"B.1.1.214"	""	"20201215"	"Japan"	""	"Homo sapiens"	"2697049"	"100.0"	""	""
""	"B.1.1.214"	""	"20201215"	"Japan"	""	"Homo sapiens"	"2697049"	"100.0"	""	""
""	"B.1.1.214"	""	"20201215"	"Japan"	""	"Homo sapiens"	"2697049"	"100.0"	""	""
""	"B.1.1.214"	""	"20201215"	"Japan"	""	"Homo sapiens"	"2697049"	"100.0"	""	""
""	"B.1.1.214"	""	"20201215"	"Japan"	""	"Homo sapiens"	"2697049"	"100.0"	""	""
